squirrel_id,latitude,longitude,shift,date,age,color,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
37F-PM-1014-03,40.7940823884086,-73.9561344937861,PM,2018-10-14,,,,,False,False,False,False,False,,False,False,False,False,False,False,False,False
37E-PM-1006-03,40.7948509408039,-73.9570437717691,PM,2018-10-06,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True
2E-AM-1010-03,40.7667178072558,-73.9768311751004,AM,2018-10-10,Adult,Cinnamon,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False
5D-PM-1018-05,40.7697032606755,-73.9757249834141,PM,2018-10-18,Juvenile,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,True
39B-AM-1018-01,40.797533370163,-73.9593126695714,AM,2018-10-18,,,Above Ground,,False,False,False,False,False,unknown,True,False,False,False,False,False,False,False
33H-AM-1019-02,40.7902561000937,-73.9565700386162,AM,2018-10-19,Juvenile,Gray,Ground Plane,,False,False,False,False,False,wrestling with mother,False,False,False,False,False,False,False,False
6G-PM-1020-02,40.7693045133578,-73.9719735582476,PM,2018-10-20,Adult,Gray,Ground Plane,,True,True,False,False,False,,False,False,False,False,False,False,True,False
35C-PM-1013-03,40.7942883045566,-73.9602609920814,PM,2018-10-13,,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True
7B-AM-1008-09,40.7729752391435,-73.9770718586754,AM,2018-10-08,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
32E-PM-1017-14,40.7903128889029,-73.9596413903948,PM,2018-10-17,Adult,Gray,,,False,False,False,True,True,,False,False,False,False,False,False,False,True
13E-AM-1017-05,40.7762126854894,-73.9702676472613,AM,2018-10-17,Adult,Gray,Above Ground,on tree stump,False,False,False,False,True,,False,False,False,False,False,False,False,False
11H-AM-1010-03,40.7725908847499,-73.9683613516225,AM,2018-10-10,Adult,Cinnamon,,,False,False,False,False,True,,False,False,False,False,True,False,True,False
36H-AM-1010-02,40.7931811701082,-73.9541201789795,AM,2018-10-10,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False
33F-AM-1008-02,40.7917367820255,-73.9582694312289,AM,2018-10-08,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
21C-PM-1006-01,40.7829723919744,-73.9674285955293,PM,2018-10-06,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,True,True,False,False,False
11D-AM-1010-03,40.7742879599026,-73.9722500196844,AM,2018-10-10,Adult,Gray,Above Ground,,False,False,True,False,False,grooming,False,False,False,False,False,False,True,False
20B-PM-1013-05,40.7823507678183,-73.9695063535333,PM,2018-10-13,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
36I-PM-1007-01,40.7919669739962,-73.9532170504865,PM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
5C-PM-1010-09,40.7702795904962,-73.9768603630674,PM,2018-10-10,Adult,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False
7H-AM-1006-05,40.7698124821507,-73.9706105896967,AM,2018-10-06,Adult,Gray,Above Ground,,False,True,False,False,False,,False,False,False,False,False,False,True,False
16C-PM-1018-03,40.7787526130321,-73.9703781726172,PM,2018-10-18,Adult,Gray,Above Ground,,True,False,False,True,True,,False,False,False,False,False,False,True,False
14E-AM-1008-23,40.7765032004992,-73.9703925210471,AM,2018-10-08,Adult,Gray,Ground Plane,,False,False,False,False,True,walking,False,False,False,False,False,False,True,False
32A-PM-1013-03,40.7924173263904,-73.9638179439747,PM,2018-10-13,Juvenile,Gray,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False
33F-AM-1008-01,40.7913812490557,-73.9584070974734,AM,2018-10-08,Adult,Gray,Ground Plane,,False,False,False,False,False,moving slowly,False,False,False,False,False,False,True,False
17F-AM-1007-07,40.7784859700171,-73.9671130680114,AM,2018-10-07,Adult,Gray,Above Ground,,True,False,False,False,False,,False,False,False,True,False,False,True,False
16I-AM-1008-01,40.7764929694457,-73.9649866016038,AM,2018-10-08,Adult,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False
12I-AM-1013-01,40.7734991420941,-73.9670628558161,AM,2018-10-13,Adult,Cinnamon,Ground Plane,on tree roots,False,False,False,False,False,sitting,False,False,False,False,True,False,False,True
32F-PM-1008-07,40.7908524370626,-73.958736593111,PM,2018-10-08,Adult,Gray,Ground Plane,,True,True,False,False,True,,False,False,False,False,False,False,True,False
25A-AM-1013-04,40.7867352791232,-73.9671786715256,AM,2018-10-13,,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True
15E-AM-1013-01,40.7769536102488,-73.9692943291611,AM,2018-10-13,Adult,Gray,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,False,False
39G-PM-1013-06,40.7952445999836,-73.9540054100539,PM,2018-10-13,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False
29I-PM-1007-01,40.7868659490397,-73.9576530157255,PM,2018-10-07,,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,False
7E-AM-1006-02,40.7711846894166,-73.9738033257473,AM,2018-10-06,Adult,Gray,Ground Plane,under a tree,False,False,False,True,False,,False,False,False,False,False,False,False,False
17C-PM-1013-05,40.7798965621203,-73.9704402681017,PM,2018-10-13,Adult,Gray,Ground Plane,,False,False,False,True,False,eating (ate upside down on a tree — #jealous),False,False,False,False,False,False,True,False
10A-PM-1014-01,40.7753897331918,-73.9756976076707,PM,2018-10-14,Adult,Gray,Ground Plane,in b/w trees,False,False,False,False,True,,False,False,False,False,True,False,True,False
28A-PM-1007-05,40.7890381809441,-73.9662438996681,PM,2018-10-07,Adult,Cinnamon,Ground Plane,,True,False,False,False,True,,False,False,False,False,True,False,False,True
22F-PM-1014-05,40.7820818516957,-73.9643153920428,PM,2018-10-14,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
12B-AM-1007-01,40.7757957380463,-73.9742073452913,AM,2018-10-07,Adult,Gray,Ground Plane,,False,True,False,False,False,,False,False,False,True,False,False,True,False
18A-PM-1018-01,40.7813911036179,-73.9716147061553,PM,2018-10-18,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
36H-PM-1008-02,40.7928711760061,-73.9535410657077,PM,2018-10-08,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
29C-AM-1007-06,40.7891774637988,-73.9639159298446,AM,2018-10-07,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True
38C-PM-1014-09,40.7959337795027,-73.9579564338627,PM,2018-10-14,Adult,Black,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,True,False,False
31H-PM-1008-02,40.7892508428622,-73.9574648097543,PM,2018-10-08,Juvenile,Gray,Above Ground,,True,False,True,False,False,,False,False,False,False,True,False,True,False
8H-AM-1017-06,40.7705999588222,-73.970252675331,AM,2018-10-17,Adult,Gray,Above Ground,,False,True,False,True,False,,False,False,False,False,False,False,True,False
34F-AM-1007-01,40.7918613498407,-73.9579645940414,AM,2018-10-07,Adult,Gray,Above Ground,,True,False,True,False,False,,False,False,False,False,False,False,False,True
13H-PM-1010-02,40.7749505252981,-73.9673253417305,PM,2018-10-10,Adult,Gray,Above Ground,tree,False,False,False,False,True,,False,False,False,False,False,False,True,False
